// 8 25
// 9 24
// 9 24.5
// 8 25.5
// The following stables colored squares:
CS (14, 116) (16, 47) - 1 5 16 5 1 21 7 1 13 4 13 1 7 21
OSO (5, 49) (17, 1253) - 1 5 16 6 21
OSO (5, 49) (17, 2093) - 1 7 20 6 15
CS (26, 192) (18, 1615) - 1 5 10 4 15 1 6 1 18 1 6 1 15 4 10 5 1 17 6 17 1 6 1 17 6 17
OSO (5, 45) (22, 2095) - 1 5 14 6 19
OSO (7, 49) (26, 1982) - 1 5 15 1 6 1 20
CS (48, 408) (28, 1167) - 1 5 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 5 1 17 6 20 7 1 14 1 7 20 6 17 1 6 1 17 6 20 7 1 14 1 7 20 6 17
CS (24, 204) (29, 655) - 1 6 1 17 6 20 7 1 13 4 12 4 12 4 12 4 12 4 13 1 7 20 6 17
CS (14, 108) (31, 1878) - 1 5 12 4 12 5 1 19 7 1 14 1 7 19
CS (20, 196) (32, 127) - 1 7 20 6 15 1 7 20 6 16 6 20 7 1 15 6 20 7 1 14
CS (24, 204) (32, 1569) - 1 5 12 4 12 4 12 4 12 4 12 5 1 17 6 20 7 1 14 1 7 20 6 17
CS (20, 188) (33, 2090) - 1 5 14 6 21 1 5 16 5 1 21 6 14 5 1 19 6 16 6 19
CS (44, 396) (37, 408) - 1 6 1 17 6 20 6 16 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 16 6 20 6 17
CS (28, 196) (39, 346) - 1 5 15 1 6 1 20 1 5 15 1 6 1 20 1 6 1 15 5 1 20 1 6 1 15 5 1 20
CS (28, 232) (39, 5) - 1 5 16 4 8 4 16 5 1 21 7 1 14 1 7 21 1 5 16 5 1 21 7 1 14 1 7 21
CS (22, 204) (42, 534) - 1 5 12 4 12 5 1 17 6 20 7 1 15 6 20 6 15 1 7 20 6 17
CS (24, 204) (43, 2109) - 1 5 12 4 12 4 13 1 7 20 6 16 6 20 7 1 13 4 12 4 12 5 1 18
