0: 1 5 14 6 19, zy
1: 1 5 16 6 21, zy
2: 1 7 20 6 15, zy
3: 1 5 12 4 12 6 19, zy
4: 1 5 12 4 14 6 19, zy
5: 1 5 15 1 6 1 20, zy
6: 1 5 14 6 21 1 5 16 6 19, zy
7: 1 5 12 4 14 4 10 4 16 6 19, zy
8: 1 5 14 4 8 2 6 4 16 6 19, zy
9: 1 5 14 4 10 4 15 1 6 1 20, zy
10: 1 5 14 5 1 19 6 16 5 1 20, zy
11: 1 7 18 6 14 4 10 4 10 4 13, zy
12: 1 7 18 6 18 6 14 4 10 4 13, zy
13: 1 7 20 6 14 4 10 4 12 4 13, zy
14: 1 5 12 4 10 2 4 2 6 2 6 4 17, zy
15: 1 5 12 4 12 4 12 4 10 4 14 6 19, zy
16: 1 5 12 4 14 4 12 4 14 4 10 4 17, zy
17: 1 5 12 4 14 6 20 6 17 1 6 1 18, zy
18: 1 5 14 4 10 4 16 6 18 6 18 6 19, zy
19: 1 5 14 4 12 4 10 4 15 1 6 1 20, zy
20: 1 5 14 4 12 4 12 4 16 6 20 6 19, zy
21: 1 5 12 4 12 5 1 19 7 1 14 1 7 19, zy
22: 1 5 16 5 1 21 7 1 13 4 13 1 7 21, zy
23: 1 5 12 2 2 2 10 4 14 6 20 6 16 6 19, zy
24: 1 5 12 4 12 4 14 6 20 6 16 4 8 4 17, zy
25: 1 5 12 4 12 4 14 6 20 6 17 1 6 1 18, zy
26: 1 5 12 4 14 4 10 4 14 4 10 4 16 6 19, zy
27: 1 5 12 4 14 6 19 1 6 1 16 1 6 1 18, zy
28: 1 5 14 4 10 2 4 2 8 4 15 1 6 1 20, zy
29: 1 5 14 4 10 4 16 6 19 1 5 14 5 1 20, zy
30: 1 7 20 6 14 4 8 2 6 4 16 6 18 6 15, zy
31: 1 7 20 6 14 4 10 4 14 6 18 6 18 6 15, zy
32: 1 5 10 2 4 2 8 4 16 6 18 6 18 6 18 6 17, zy
33: 1 5 12 2 2 2 8 2 4 2 6 2 8 4 14 6 19, zy
34: 1 5 12 2 2 2 10 4 14 4 10 4 16 6 18 6 19, zy
35: 1 5 12 4 10 2 4 2 6 2 6 2 6 2 6 4 17, zy
36: 1 5 12 4 12 2 2 2 8 2 6 4 17 1 6 1 18, zy
37: 1 5 12 4 12 4 12 4 10 2 2 2 10 4 14 6 19, zy
38: 1 5 12 4 12 4 12 4 12 4 10 4 15 1 6 1 18, zy
39: 1 5 12 4 12 4 12 4 14 6 20 6 16 4 8 4 17, zy
40: 1 5 12 4 14 4 10 4 14 4 10 4 16 6 18 6 19, zy
41: 1 5 12 4 14 4 10 4 14 5 1 20 1 5 16 6 19, zy
42: 1 5 12 4 14 4 10 4 16 6 20 6 17 1 6 1 18, zy
43: 1 5 12 4 14 5 1 20 1 5 14 4 10 4 16 6 19, zy
44: 1 5 12 4 14 6 18 6 18 6 16 6 18 6 16 6 19, zy
45: 1 5 12 4 14 6 20 6 14 4 10 4 15 1 6 1 18, zy
46: 1 5 14 4 10 2 2 2 12 4 10 4 15 1 6 1 20, zy
47: 1 5 14 4 10 2 4 2 6 2 8 4 15 1 6 1 20, zy
48: 1 5 14 4 10 4 16 6 18 6 18 6 18 6 18 6 19, zy
49: 1 5 14 4 12 4 10 4 16 6 19 1 5 14 5 1 20, zy
50: 1 5 14 4 12 4 12 4 14 6 21 1 5 15 1 7 21, zy
51: 1 5 14 4 12 4 14 4 10 2 4 2 8 2 6 4 19, zy
52: 1 5 14 5 1 18 1 6 1 17 6 20 6 16 5 1 20, zy
53: 1 5 14 6 19 1 6 1 15 4 8 4 16 6 16 6 19, zy
54: 1 5 16 4 8 2 6 2 8 4 16 4 10 4 16 6 21, zy
55: 1 5 16 4 8 4 18 6 18 6 18 6 20 6 16 6 21, zy
56: 1 6 1 15 4 8 2 6 4 16 6 20 7 1 15 6 19, zy
57: 1 7 20 6 14 4 10 4 12 4 13 1 7 20 7 1 14, zy
58: 1 5 12 2 2 2 10 4 15 1 6 1 19 6 17 1 6 1 18, zy
59: 1 5 12 4 10 4 14 4 8 4 16 6 18 6 16 6 18 6 17, zy
60: 1 5 12 4 12 4 12 5 1 19 6 14 4 10 4 13 1 7 19, zy
61: 1 5 12 4 14 4 10 4 15 1 6 1 19 6 17 1 6 1 18, zy
62: 1 5 12 4 14 6 18 6 18 6 16 6 18 6 17 1 6 1 18, zy
63: 1 5 14 4 10 2 4 2 8 4 16 4 8 2 6 4 18 6 19, zy
64: 1 5 14 4 10 4 14 4 8 2 6 4 17 1 6 1 17 6 19, zy
65: 1 5 14 4 10 4 15 1 6 1 19 6 18 6 18 6 18 6 19, zy
66: 1 5 14 4 10 4 16 6 18 4 6 2 8 4 15 1 6 1 20, zy
67: 1 5 14 4 10 4 16 6 18 6 18 6 18 6 18 6 18 6 19, zy
68: 1 5 14 4 12 4 10 4 16 6 18 6 19 1 5 14 5 1 20, zy
69: 1 5 14 4 12 4 12 4 12 4 14 6 21 1 5 15 1 7 21, zy
